id,incident,date,evidence_group,evidence_type,failure_category,reported_scale,policy_interruption,adoption_required,coverage,source_urls,review_date
V11,Gemini CLI command-approval bypass,"Reported Jun 27; disclosed Jul 28, 2025",Controlled disclosure,Demonstration,README injection → approved-looking command prefix hides extra operations → inherited environment secrets sent out.,Controlled execution/exfiltration; no customer count.,Remove unnecessary inherited secrets; mediate complete subprocess effects.,Environment and process/egress controls; prefix checks do not validate arbitrary shell behavior.,E,https://tracebit.com/blog/code-exec-deception-gemini-ai-cli-hijack,2026-09-13
V12,Cursor CurXecute,Reported Jul 7; public Aug 2025,Controlled disclosure,Demonstration,MCP injection → agent writes executable MCP configuration → new server runs.,"CVE-2025-54135; controlled RCE, not a measured victim population.",Deny writes to trusted MCP configuration through every agent/worker route.,Protected-file-write analogue; validate Cursor adapter and protect startup/configuration independently.,D,https://www.catonetworks.com/blog/curxecute-rce/ ; https://www.tenable.com/blog/faq-cve-2025-54135-cve-2025-54136-vulnerabilities-in-cursor-curxecute-mcpoison,2026-09-13
V13,Cursor MCPoison,"Reported Jul 16; disclosed Aug 5, 2025",Controlled disclosure,Demonstration,Repository changes executable/arguments under previously approved MCP name → stale approval permits execution.,CVE-2025-54136; controlled demonstration.,Invalidate approval when executable/configuration content changes.,Content-bound approvals and startup mediation; separate from CurXecute’s agent-authored write.,E,https://research.checkpoint.com/2025/cursor-vulnerability-mcpoison/ ; https://www.tenable.com/blog/faq-cve-2025-54135-cve-2025-54136-vulnerabilities-in-cursor-curxecute-mcpoison,2026-09-13
V14,GitHub Copilot approval settings,"Reported Jun 29; disclosed Aug 12, 2025",Controlled disclosure,Demonstration,Source injection → agent changes editor autoapproval settings → unapproved command execution.,CVE-2025-53773; controlled demonstrations on multiple desktop platforms.,"Keep approval settings outside agent write authority, including shell and delegates.",Protected-file-write analogue; independently enforce and validate editor integration.,D,https://embracethered.com/blog/posts/2025/github-copilot-remote-code-execution-via-prompt-injection/ ; https://www.persistent-security.net/post/part-iii-vscode-copilot-wormable-command-execution-via-prompt-injection,2026-09-13
V15,Microsoft 365 Copilot EchoLeak,"Discovered Jan; disclosed Jun 11, 2025",Controlled disclosure,Demonstration,Email injection → sensitive context in image URL → allowed service/proxy carries exfiltration.,CVE-2025-32711; researcher reported no known impacted customers.,Restrict permitted-read data flow into rendered URLs and proxy requests.,Rendering/redirect/data-flow controls. File access permissions alone do not stop disclosure after a permitted read.,E,https://www.catonetworks.com/blog/breaking-down-echoleak/ ; https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2025-32711,2026-09-13
V16,Salesforce Agentforce ForcedLeak,"Reported Jul 28; disclosed Sep 25, 2025",Controlled disclosure,Demonstration,Lead-field injection → CRM data exposure → attacker-owned expired allowlisted domain.,"Controlled disclosure; CVSS 9.4 is severity, not frequency.",Restrict job-specific CRM reads and sensitive output destinations.,Salesforce/data-flow adapter plus destination-ownership checks; hostname allowlisting is insufficient.,E,https://noma.security/blog/forcedleak-agent-risks-exposed-in-salesforce-agentforce ; https://help.salesforce.com/s/articleView?id=005135034&type=1,2026-09-13
V17,Gemini Enterprise GeminiJack,"Disclosed Dec 8, 2025",Controlled disclosure,Demonstration,Poisoned connected content → sensitive federated-search results → image-request exfiltration.,Controlled disclosure; theoretical accessible data is not a victim count.,Restrict job-specific retrieval and sensitive data in rendered URLs.,SaaS retrieval/rendering/data-flow integration; local wrapper cannot mediate unexposed service internals.,E,https://noma.security/noma-labs/geminijack,2026-09-13
V18,ServiceNow agent discovery / delegation,"Disclosed Nov 19, 2025",Controlled disclosure,Demonstration,Record injection → less privileged agent invokes stronger agent → unauthorized changes/data transfer.,Configuration-dependent demonstration; not a platform-wide customer breach.,Delegate cannot gain stronger CRUD/email authority without fresh trusted authorization.,"ServiceNow agent-identity/action adapter; local worker inheritance is an analogue, not a tested service integration.",E,https://appomni.com/ao-labs/ai-agent-to-agent-discovery-prompt-injection/,2026-09-13
V19,ServiceNow BodySnatcher,"Reported/fixed Oct 2025; disclosed Jan 13, 2026",Controlled disclosure,Demonstration,Authentication bypass → forged privileged operator → agent creates backdoor administrator.,"CVE-2025-12420; controlled chain, no victim count.",Current trusted-operator premise fails; policy accepts forged authority.,Patch authentication and require independently authenticated administrative authority.,O,https://appomni.com/ao-labs/bodysnatcher-agentic-ai-security-vulnerability-in-servicenow/,2026-09-13
V20,MCP Inspector,Reported Apr 18; public Jun 2025,Controlled disclosure,Demonstration,Malicious website reaches local debugging proxy → stdio command execution before model authorization.,CVE-2025-49596; controlled RCE; no LLM decision needed.,Restrict browser/proxy origins and confine connector execution.,Patch/authenticate debugger; independent containment below proxy. Current tool policy does not protect its launcher.,E,https://www.oligo.security/blog/critical-rce-vulnerability-in-anthropic-mcp-inspector-cve-2025-49596,2026-09-13
V21,mcp-remote,"Disclosed Jul 9, 2025",Controlled disclosure,Demonstration,Malicious OAuth endpoint → unsafe connector command handling → host execution during bootstrap.,CVE-2025-6514; controlled RCE; no LLM decision needed.,Confine bootstrap execution and validate authorization endpoints.,Patch connector and isolate startup below model tool hooks.,E,https://research.jfrog.com/vulnerabilities/mcp-remote-command-injection-rce-jfsa-2025-001290844/,2026-09-13
V22,OpenClaw gateway token / RCE,"Advisory Jan 31, 2026",Controlled disclosure,Demonstration,Web link changes gateway destination → operator-token theft → control-plane code execution.,CVE-2026-25253; controlled disclosure; exploited-customer count unknown.,Current trusted-operator/control-plane premise fails.,Patch gateway identity flow; protect enforcement behind an independent authority.,O,https://github.com/advisories/GHSA-g8p2-7wf7-98mq ; https://depthfirst.com/research/1-click-rce-to-steal-your-moltbot-data-and-keys,2026-09-13
